,Nama,Ulasan,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
102,abu dzakiy,bagus potensi alamnya tapi pengololaannya belum maksimal mungkin dikarenakan masih berbasis mandiri,Negatif,"['bagus', 'potensi', 'alamnya', 'tapi', 'pengololaannya', 'belum', 'maksimal', 'mungkin', 'dikarenakan', 'masih', 'berbasis', 'mandiri']","['bagus', 'potensi', 'alamnya', 'tapi', 'pengololaannya', 'belum', 'maksimal', 'mungkin', 'dikarenakan', 'masih', 'berbasis', 'mandiri']","['bagus', 'potensi', 'alamnya', 'pengololaannya', 'maksimal', 'berbasis', 'mandiri']","['bagus', 'potensi', 'alamnya', 'pengololaannya', 'maksimal', 'berbasis', 'mandiri']","['bagus', 'potensi', 'alam', 'pengololaannya', 'maksimal', 'bas', 'mandiri']"
103,Tatang Decoration,seru banget sangat memicu adrenaline apalagi saat ambil gambar dr atas air terjunnya,Positif,"['seru', 'banget', 'sangat', 'memicu', 'adrenaline', 'apalagi', 'saat', 'ambil', 'gambar', 'dr', 'atas', 'air', 'terjunnya']","['seru', 'banget', 'sangat', 'memicu', 'adrenaline', 'apalagi', 'saat', 'ambil', 'gambar', 'dr', 'atas', 'air', 'terjunnya']","['seru', 'banget', 'memicu', 'adrenaline', 'ambil', 'gambar', 'dr', 'air', 'terjunnya']","['seru', 'banget', 'memicu', 'adrenaline', 'ambil', 'gambar', 'dr', 'air', 'terjunnya']","['seru', 'banget', 'picu', 'adrenaline', 'ambil', 'gambar', 'dr', 'air', 'terjun']"
104,DINASTY,tempat parkir luas air terjun alami,Positif,"['tempat', 'parkir', 'luas', 'air', 'terjun', 'alami']","['tempat', 'parkir', 'luas', 'air', 'terjun', 'alami']","['parkir', 'luas', 'air', 'terjun', 'alami']","['parkir', 'luas', 'air', 'terjun', 'alami']","['parkir', 'luas', 'air', 'terjun', 'alami']"
105,Nor Khakim,bagus air terjun dg pantai apik kalo air terjun nya ndak begitu deras dan pantai agak surut,Positif,"['bagus', 'air', 'terjun', 'dg', 'pantai', 'apik', 'kalo', 'air', 'terjun', 'nya', 'ndak', 'begitu', 'deras', 'dan', 'pantai', 'agak', 'surut']","['bagus', 'air', 'terjun', 'dg', 'pantai', 'bagus', 'kalau', 'air', 'terjun', 'nya', 'tidak', 'begitu', 'deras', 'dan', 'pantai', 'agak', 'surut']","['bagus', 'air', 'terjun', 'dg', 'pantai', 'bagus', 'air', 'terjun', 'nya', 'deras', 'pantai', 'surut']","['bagus', 'air', 'terjun', 'dg', 'pantai', 'bagus', 'air', 'terjun', 'deras', 'pantai', 'surut']","['bagus', 'air', 'terjun', 'dg', 'pantai', 'bagus', 'air', 'terjun', 'deras', 'pantai', 'surut']"
106,Kurniadi Wijaya,tempat yang indah tapi kebersihan sedikit perlu kurang terjaga,Negatif,"['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlu', 'kurang', 'terjaga']","['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlu', 'kurang', 'terjaga']","['indah', 'kebersihan', 'terjaga']","['indah', 'kebersihan', 'terjaga']","['indah', 'bersih', 'jaga']"
107,Muhammad Syaifuddin,lokasi x dipinggir jalan jd gampang dicarinya bs jd tempat singgah bentar menikmati suasana air terjun yang jatuh ditepi pantai,Positif,"['lokasi', 'x', 'dipinggir', 'jalan', 'jd', 'gampang', 'dicarinya', 'bs', 'jd', 'tempat', 'singgah', 'bentar', 'menikmati', 'suasana', 'air', 'terjun', 'yang', 'jatuh', 'ditepi', 'pantai']","['lokasi', 'x', 'dipinggir', 'jalan', 'jadi', 'gampang', 'dicarinya', 'bisa', 'jadi', 'tempat', 'singgah', 'bentar', 'menikmati', 'suasana', 'air', 'terjun', 'yang', 'jatuh', 'ditepi', 'pantai']","['lokasi', 'x', 'dipinggir', 'jalan', 'gampang', 'dicarinya', 'singgah', 'bentar', 'menikmati', 'suasana', 'air', 'terjun', 'jatuh', 'ditepi', 'pantai']","['lokasi', 'dipinggir', 'jalan', 'gampang', 'dicarinya', 'singgah', 'bentar', 'menikmati', 'suasana', 'air', 'terjun', 'jatuh', 'ditepi', 'pantai']","['lokasi', 'pinggir', 'jalan', 'gampang', 'cari', 'singgah', 'bentar', 'nikmat', 'suasana', 'air', 'terjun', 'jatuh', 'tepi', 'pantai']"
108,selly maghfiroh,kesini waktu air keruh dan musim hujan kalau volume airnya naik sangat menakutkan,Negatif,"['kesini', 'waktu', 'air', 'keruh', 'dan', 'musim', 'hujan', 'kalau', 'volume', 'airnya', 'naik', 'sangat', 'menakutkan']","['sini', 'waktu', 'air', 'keruh', 'dan', 'musim', 'hujan', 'kalau', 'volume', 'airnya', 'naik', 'sangat', 'menakutkan']","['air', 'keruh', 'musim', 'hujan', 'volume', 'airnya', 'menakutkan']","['air', 'keruh', 'musim', 'hujan', 'volume', 'airnya', 'menakutkan']","['air', 'keruh', 'musim', 'hujan', 'volume', 'air', 'takut']"
109,Firman Hidayat,pemandangan alam bagus dan murah meriah pas bnget bagi anda yg lg liburan di madura,Positif,"['pemandangan', 'alam', 'bagus', 'dan', 'murah', 'meriah', 'pas', 'bnget', 'bagi', 'anda', 'yg', 'lg', 'liburan', 'di', 'madura']","['pemandangan', 'alam', 'bagus', 'dan', 'murah', 'meriah', 'pas', 'banget', 'bagi', 'anda', 'yang', 'lagi', 'liburan', 'di', 'madura']","['pemandangan', 'alam', 'bagus', 'murah', 'meriah', 'pas', 'banget', 'liburan', 'madura']","['pemandangan', 'alam', 'bagus', 'murah', 'meriah', 'banget', 'liburan', 'madura']","['pandang', 'alam', 'bagus', 'murah', 'riah', 'banget', 'libur', 'madura']"
110,riva nq,bagusss sekali tapi tetap hal yang perlu di perbaiki adalah sampah mari kurangi penggunaan plastik thanks,Negatif,"['bagusss', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']","['bagus', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaikan', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']","['bagus', 'perbaikan', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']","['bagus', 'perbaikan', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik']","['bagus', 'baik', 'sampah', 'mari', 'kurang', 'guna', 'plastik']"
111,shohibul ilmi,sekarang parkir sudah luas kalau kesini mending sore senja sore sungguh pemandangan nya,Positif,"['sekarang', 'parkir', 'sudah', 'luas', 'kalau', 'kesini', 'mending', 'sore', 'senja', 'sore', 'sungguh', 'pemandangan', 'nya']","['sekarang', 'parkir', 'sudah', 'luas', 'kalau', 'sini', 'mending', 'sore', 'senja', 'sore', 'sungguh', 'pemandangan', 'nya']","['parkir', 'luas', 'mending', 'sore', 'senja', 'sore', 'sungguh', 'pemandangan', 'nya']","['parkir', 'luas', 'mending', 'sore', 'senja', 'sore', 'sungguh', 'pemandangan']","['parkir', 'luas', 'mending', 'sore', 'senja', 'sore', 'sungguh', 'pandang']"
112,a nurul hadi,salah satu keunikannya adalah air terjun yang langsung mengalir ke laut sehingga keindahannya sangat memanjakan mata salah satu tempat wisata unit andalan kabupaten sampang madura jarang ditemui di tempat lain,Positif,"['salah', 'satu', 'keunikannya', 'adalah', 'air', 'terjun', 'yang', 'langsung', 'mengalir', 'ke', 'laut', 'sehingga', 'keindahannya', 'sangat', 'memanjakan', 'mata', 'salah', 'satu', 'tempat', 'wisata', 'unit', 'andalan', 'kabupaten', 'sampang', 'madura', 'jarang', 'ditemui', 'di', 'tempat', 'lain']","['salah', 'satu', 'keunikannya', 'adalah', 'air', 'terjun', 'yang', 'langsung', 'mengalir', 'ke', 'laut', 'sehingga', 'keindahannya', 'sangat', 'memanjakan', 'mata', 'salah', 'satu', 'tempat', 'wisata', 'unit', 'andalan', 'kabupaten', 'sampang', 'madura', 'jarang', 'ditemui', 'di', 'tempat', 'lain']","['salah', 'keunikannya', 'air', 'terjun', 'langsung', 'mengalir', 'laut', 'keindahannya', 'memanjakan', 'mata', 'salah', 'wisata', 'unit', 'andalan', 'kabupaten', 'sampang', 'madura', 'jarang', 'ditemui']","['salah', 'keunikannya', 'air', 'terjun', 'langsung', 'mengalir', 'laut', 'keindahannya', 'memanjakan', 'mata', 'salah', 'wisata', 'unit', 'andalan', 'kabupaten', 'sampang', 'madura', 'jarang', 'ditemui']","['salah', 'uni', 'air', 'terjun', 'langsung', 'alir', 'laut', 'indah', 'manja', 'mata', 'salah', 'wisata', 'unit', 'andal', 'kabupaten', 'sampang', 'madura', 'jarang', 'temu']"
113,alex hidayatulloh,kalau kesini pas musim kemarau saja biar tidak licin,Positif,"['kalau', 'kesini', 'pas', 'musim', 'kemarau', 'saja', 'biar', 'tidak', 'licin']","['kalau', 'sini', 'pas', 'musim', 'kemarau', 'saja', 'biar', 'tidak', 'licin']","['pas', 'musim', 'kemarau', 'biar', 'licin']","['musim', 'kemarau', 'biar', 'licin']","['musim', 'kemarau', 'biar', 'licin']"
114,Nur Hayati,tempat santai bersama kelurga dan kerabat dengan nuasa alam yang sangat indah dipandang,Positif,"['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang']","['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang']","['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'dipandang']","['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'dipandang']","['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'pandang']"
115,Ola Christine Official,tempat wisata dg panorama dan pemandanganyg sangat indah air terjun yg bermuara tepat dibibir pantai utara pulau madura sangat cocok utk tujuan wisata keluarga,Positif,"['tempat', 'wisata', 'dg', 'panorama', 'dan', 'pemandanganyg', 'sangat', 'indah', 'air', 'terjun', 'yg', 'bermuara', 'tepat', 'dibibir', 'pantai', 'utara', 'pulau', 'madura', 'sangat', 'cocok', 'utk', 'tujuan', 'wisata', 'keluarga']","['tempat', 'wisata', 'dg', 'panorama', 'dan', 'pemandanganyg', 'sangat', 'indah', 'air', 'terjun', 'yang', 'bermuara', 'tepat', 'dibibir', 'pantai', 'utara', 'pulau', 'madura', 'sangat', 'cocok', 'untuk', 'tujuan', 'wisata', 'keluarga']","['wisata', 'dg', 'panorama', 'pemandanganyg', 'indah', 'air', 'terjun', 'bermuara', 'dibibir', 'pantai', 'utara', 'pulau', 'madura', 'cocok', 'tujuan', 'wisata', 'keluarga']","['wisata', 'dg', 'panorama', 'pemandanganyg', 'indah', 'air', 'terjun', 'bermuara', 'dibibir', 'pantai', 'utara', 'pulau', 'madura', 'cocok', 'tujuan', 'wisata']","['wisata', 'dg', 'panorama', 'pemandanganyg', 'indah', 'air', 'terjun', 'muara', 'bibir', 'pantai', 'utara', 'pulau', 'madura', 'cocok', 'tuju', 'wisata']"
116,Edi Lung,pastikan klo mo kesini pas air lgi pasang lebih keren,Positif,"['pastikan', 'klo', 'mo', 'kesini', 'pas', 'air', 'lgi', 'pasang', 'lebih', 'keren']","['pastikan', 'kalau', 'mo', 'sini', 'pas', 'air', 'lagi', 'pasang', 'lebih', 'keren']","['pastikan', 'mo', 'pas', 'air', 'pasang', 'keren']","['pastikan', 'mo', 'air', 'pasang', 'keren']","['pasti', 'mo', 'air', 'pasang', 'keren']"
117,hanin alhinduan,tempat yg tenang indah cocok buat couple hehehe bawa keluarga liburan disini sama ikan bakar indahnya dunia ini,Positif,"['tempat', 'yg', 'tenang', 'indah', 'cocok', 'buat', 'couple', 'hehehe', 'bawa', 'keluarga', 'liburan', 'disini', 'sama', 'ikan', 'bakar', 'indahnya', 'dunia', 'ini']","['tempat', 'yang', 'tenang', 'indah', 'cocok', 'buat', 'couple', 'hehehe', 'bawa', 'keluarga', 'liburan', 'sini', 'sama', 'ikan', 'bakar', 'indahnya', 'dunia', 'ini']","['tenang', 'indah', 'cocok', 'couple', 'hehehe', 'bawa', 'keluarga', 'liburan', 'ikan', 'bakar', 'indahnya', 'dunia']","['tenang', 'indah', 'cocok', 'couple', 'hehehe', 'bawa', 'liburan', 'ikan', 'indahnya', 'dunia']","['tenang', 'indah', 'cocok', 'couple', 'hehehe', 'bawa', 'libur', 'ikan', 'indah', 'dunia']"
118,Nugraha Fahlevi,pengelola tempat wisata nya ramah tempatnya sejuk,Positif,"['pengelola', 'tempat', 'wisata', 'nya', 'ramah', 'tempatnya', 'sejuk']","['pengelola', 'tempat', 'wisata', 'nya', 'ramah', 'tempatnya', 'sejuk']","['pengelola', 'wisata', 'nya', 'ramah', 'tempatnya', 'sejuk']","['pengelola', 'wisata', 'ramah', 'tempatnya', 'sejuk']","['kelola', 'wisata', 'ramah', 'tempat', 'sejuk']"
119,sam joss,pemandangan yang bagus untuk santai dengan keluarga,Positif,"['pemandangan', 'yang', 'bagus', 'untuk', 'santai', 'dengan', 'keluarga']","['pemandangan', 'yang', 'bagus', 'untuk', 'santai', 'dengan', 'keluarga']","['pemandangan', 'bagus', 'santai', 'keluarga']","['pemandangan', 'bagus', 'santai']","['pandang', 'bagus', 'santai']"
120,Awik Baidawi,air terjun yang langsung jatuh ke pantai,Positif,"['air', 'terjun', 'yang', 'langsung', 'jatuh', 'ke', 'pantai']","['air', 'terjun', 'yang', 'langsung', 'jatuh', 'ke', 'pantai']","['air', 'terjun', 'langsung', 'jatuh', 'pantai']","['air', 'terjun', 'langsung', 'jatuh', 'pantai']","['air', 'terjun', 'langsung', 'jatuh', 'pantai']"
121,Edo Setyo,air terjun yang langsung turun ke laut luas,Positif,"['air', 'terjun', 'yang', 'langsung', 'turun', 'ke', 'laut', 'luas']","['air', 'terjun', 'yang', 'langsung', 'turun', 'ke', 'laut', 'luas']","['air', 'terjun', 'langsung', 'turun', 'laut', 'luas']","['air', 'terjun', 'langsung', 'turun', 'laut', 'luas']","['air', 'terjun', 'langsung', 'turun', 'laut', 'luas']"
122,Khadijah Faqih,tempat wisata yang sangat bagus berada di pantai utara madura,Positif,"['tempat', 'wisata', 'yang', 'sangat', 'bagus', 'berada', 'di', 'pantai', 'utara', 'madura']","['tempat', 'wisata', 'yang', 'sangat', 'bagus', 'berada', 'di', 'pantai', 'utara', 'madura']","['wisata', 'bagus', 'pantai', 'utara', 'madura']","['wisata', 'bagus', 'pantai', 'utara', 'madura']","['wisata', 'bagus', 'pantai', 'utara', 'madura']"
123,Zhafir Al-farezel,pengambilan foto dari wisata air terjun toroan,Positif,"['pengambilan', 'foto', 'dari', 'wisata', 'air', 'terjun', 'toroan']","['pengambilan', 'foto', 'dari', 'wisata', 'air', 'terjun', 'toroan']","['pengambilan', 'foto', 'wisata', 'air', 'terjun', 'toroan']","['pengambilan', 'foto', 'wisata', 'air', 'terjun', 'toroan']","['ambil', 'foto', 'wisata', 'air', 'terjun', 'toro']"
124,ISMA WATI,tempat bagus buat spot foto pinggir laut ada air terjun bersih dan dilengkapi dengan tempat makan karcis juga murah cuma k,Positif,"['tempat', 'bagus', 'buat', 'spot', 'foto', 'pinggir', 'laut', 'ada', 'air', 'terjun', 'bersih', 'dan', 'dilengkapi', 'dengan', 'tempat', 'makan', 'karcis', 'juga', 'murah', 'cuma', 'k']","['tempat', 'bagus', 'buat', 'spot', 'foto', 'pinggir', 'laut', 'ada', 'air', 'terjun', 'bersih', 'dan', 'dilengkapi', 'dengan', 'tempat', 'makan', 'karcis', 'juga', 'murah', 'cuma', 'ribu']","['bagus', 'spot', 'foto', 'pinggir', 'laut', 'air', 'terjun', 'bersih', 'dilengkapi', 'makan', 'karcis', 'murah', 'ribu']","['bagus', 'spot', 'foto', 'pinggir', 'laut', 'air', 'terjun', 'bersih', 'dilengkapi', 'makan', 'karcis', 'murah']","['bagus', 'spot', 'foto', 'pinggir', 'laut', 'air', 'terjun', 'bersih', 'lengkap', 'makan', 'karcis', 'murah']"
125,Amrulloh 33,tempatnya bagus sekali sangat menarik untuk dikunjungi wisatawan,Positif,"['tempatnya', 'bagus', 'sekali', 'sangat', 'menarik', 'untuk', 'dikunjungi', 'wisatawan']","['tempatnya', 'bagus', 'sekali', 'sangat', 'menarik', 'untuk', 'dikunjungi', 'wisatawan']","['tempatnya', 'bagus', 'menarik', 'dikunjungi', 'wisatawan']","['tempatnya', 'bagus', 'menarik', 'dikunjungi', 'wisatawan']","['tempat', 'bagus', 'tarik', 'kunjung', 'wisatawan']"
126,Jajak Sekitar,berdasarkan hasil wawancara kepada warga sekitar air terjun toroan menyimpan kisah tentang suami istri yang sama sakti antara sayyid abdullah dan siti marwah yang kini menjadi buju panyeppen sang istri dan makam tinggi sang suami,Positif,"['berdasarkan', 'hasil', 'wawancara', 'kepada', 'warga', 'sekitar', 'air', 'terjun', 'toroan', 'menyimpan', 'kisah', 'tentang', 'suami', 'istri', 'yang', 'sama', 'sakti', 'antara', 'sayyid', 'abdullah', 'dan', 'siti', 'marwah', 'yang', 'kini', 'menjadi', 'buju', 'panyeppen', 'sang', 'istri', 'dan', 'makam', 'tinggi', 'sang', 'suami']","['berdasarkan', 'hasil', 'wawancara', 'kepada', 'warga', 'sekitar', 'air', 'terjun', 'toroan', 'menyimpan', 'kisah', 'tentang', 'suami', 'istri', 'yang', 'sama', 'sakti', 'antara', 'sayyid', 'abdullah', 'dan', 'siti', 'marwah', 'yang', 'kini', 'menjadi', 'buju', 'panyeppen', 'sang', 'istri', 'dan', 'makam', 'tinggi', 'sang', 'suami']","['berdasarkan', 'hasil', 'wawancara', 'warga', 'air', 'terjun', 'toroan', 'menyimpan', 'kisah', 'suami', 'istri', 'sakti', 'sayyid', 'abdullah', 'siti', 'marwah', 'buju', 'panyeppen', 'sang', 'istri', 'makam', 'sang', 'suami']","['berdasarkan', 'hasil', 'wawancara', 'warga', 'air', 'terjun', 'toroan', 'menyimpan', 'kisah', 'suami', 'istri', 'sakti', 'sayyid', 'abdullah', 'siti', 'marwah', 'buju', 'panyeppen', 'sang', 'istri', 'makam', 'sang', 'suami']","['dasar', 'hasil', 'wawancara', 'warga', 'air', 'terjun', 'toro', 'simpan', 'kisah', 'suami', 'istri', 'sakti', 'sayyid', 'abdullah', 'siti', 'marwah', 'buju', 'panyeppen', 'sang', 'istri', 'makam', 'sang', 'suami']"
127,Tri Edy Sigit Pramono,tiket masuk murah sekali hanya ribu saja pantai bagus air terjun juga manambah panoroma yg langka biasanya jarang ada air terjung dekat pantai cuma kisaran m dari pantai dan pantai banyak batu karang bagus untuk selfi,Positif,"['tiket', 'masuk', 'murah', 'sekali', 'hanya', 'ribu', 'saja', 'pantai', 'bagus', 'air', 'terjun', 'juga', 'manambah', 'panoroma', 'yg', 'langka', 'biasanya', 'jarang', 'ada', 'air', 'terjung', 'dekat', 'pantai', 'cuma', 'kisaran', 'm', 'dari', 'pantai', 'dan', 'pantai', 'banyak', 'batu', 'karang', 'bagus', 'untuk', 'selfi']","['tiket', 'masuk', 'murah', 'sekali', 'hanya', 'ribu', 'saja', 'pantai', 'bagus', 'air', 'terjun', 'juga', 'manambah', 'panoroma', 'yang', 'langka', 'biasa', 'jarang', 'ada', 'air', 'terjung', 'dekat', 'pantai', 'cuma', 'kisaran', 'm', 'dari', 'pantai', 'dan', 'pantai', 'banyak', 'batu', 'karang', 'bagus', 'untuk', 'selfi']","['tiket', 'masuk', 'murah', 'ribu', 'pantai', 'bagus', 'air', 'terjun', 'manambah', 'panoroma', 'langka', 'jarang', 'air', 'terjung', 'pantai', 'kisaran', 'm', 'pantai', 'pantai', 'batu', 'karang', 'bagus', 'selfi']","['tiket', 'masuk', 'murah', 'pantai', 'bagus', 'air', 'terjun', 'manambah', 'panoroma', 'langka', 'jarang', 'air', 'terjung', 'pantai', 'kisaran', 'pantai', 'pantai', 'batu', 'karang', 'bagus', 'selfi']","['tiket', 'masuk', 'murah', 'pantai', 'bagus', 'air', 'terjun', 'manambah', 'panoroma', 'langka', 'jarang', 'air', 'jung', 'pantai', 'kisar', 'pantai', 'pantai', 'batu', 'karang', 'bagus', 'selfi']"
128,Shoby Zayzavona,tanpa tiket masuk hanya bayar parkir afa kulinernya juga,Positif,"['tanpa', 'tiket', 'masuk', 'hanya', 'bayar', 'parkir', 'afa', 'kulinernya', 'juga']","['tanpa', 'tiket', 'masuk', 'hanya', 'bayar', 'parkir', 'afa', 'kulinernya', 'juga']","['tiket', 'masuk', 'bayar', 'parkir', 'afa', 'kulinernya']","['tiket', 'masuk', 'bayar', 'parkir', 'afa', 'kulinernya']","['tiket', 'masuk', 'bayar', 'parkir', 'afa', 'kuliner']"
129,Wisnu Kinx,air terjun yg indah lgs ke laut lengkap dgn fasilitas rumah makan lesehan,Positif,"['air', 'terjun', 'yg', 'indah', 'lgs', 'ke', 'laut', 'lengkap', 'dgn', 'fasilitas', 'rumah', 'makan', 'lesehan']","['air', 'terjun', 'yang', 'indah', 'lgs', 'ke', 'laut', 'lengkap', 'dengan', 'fasilitas', 'rumah', 'makan', 'lesehan']","['air', 'terjun', 'indah', 'lgs', 'laut', 'lengkap', 'fasilitas', 'rumah', 'makan', 'lesehan']","['air', 'terjun', 'indah', 'lgs', 'laut', 'lengkap', 'fasilitas', 'makan', 'lesehan']","['air', 'terjun', 'indah', 'lgs', 'laut', 'lengkap', 'fasilitas', 'makan', 'leseh']"
130,Husnul Ika Safitri,karen air terjun langsung nyatu dengan laut,Positif,"['karen', 'air', 'terjun', 'langsung', 'nyatu', 'dengan', 'laut']","['karen', 'air', 'terjun', 'langsung', 'nyatu', 'dengan', 'laut']","['karen', 'air', 'terjun', 'langsung', 'nyatu', 'laut']","['karen', 'air', 'terjun', 'langsung', 'nyatu', 'laut']","['karen', 'air', 'terjun', 'langsung', 'nyatu', 'laut']"
131,Hadistria M,sangat bagus dan cuma bayar parkir k,Positif,"['sangat', 'bagus', 'dan', 'cuma', 'bayar', 'parkir', 'k']","['sangat', 'bagus', 'dan', 'cuma', 'bayar', 'parkir', 'ribu']","['bagus', 'bayar', 'parkir', 'ribu']","['bagus', 'bayar', 'parkir']","['bagus', 'bayar', 'parkir']"
132,anton suharto,lokasi yg terjangkau dr area parkir n nyaman utk keluarga,Positif,"['lokasi', 'yg', 'terjangkau', 'dr', 'area', 'parkir', 'n', 'nyaman', 'utk', 'keluarga']","['lokasi', 'yang', 'terjangkau', 'dr', 'area', 'parkir', 'dan', 'nyaman', 'untuk', 'keluarga']","['lokasi', 'terjangkau', 'dr', 'area', 'parkir', 'nyaman', 'keluarga']","['lokasi', 'terjangkau', 'dr', 'area', 'parkir', 'nyaman']","['lokasi', 'jangkau', 'dr', 'area', 'parkir', 'nyaman']"
133,edy trirahmady,ajibbbb pantai dgn air terjun,Positif,"['ajibbb', 'pantai', 'dgn', 'air', 'terjun']","['ajibbb', 'pantai', 'dengan', 'air', 'terjun']","['ajibbb', 'pantai', 'air', 'terjun']","['ajibbb', 'pantai', 'air', 'terjun']","['ajibbb', 'pantai', 'air', 'terjun']"
134,Achmad Sudahri,sangat indah dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah karena air terjunnya beda bukan di pegunungan tapi di tepi pantai,Positif,"['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai']","['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'mau', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai']","['indah', 'cocok', 'banget', 'wisatawan', 'memanjakan', 'mata', 'pemandangan', 'indah', 'air', 'terjunnya', 'beda', 'pegunungan', 'tepi', 'pantai']","['indah', 'cocok', 'banget', 'wisatawan', 'memanjakan', 'mata', 'pemandangan', 'indah', 'air', 'terjunnya', 'beda', 'pegunungan', 'tepi', 'pantai']","['indah', 'cocok', 'banget', 'wisatawan', 'manja', 'mata', 'pandang', 'indah', 'air', 'terjun', 'beda', 'gunung', 'tepi', 'pantai']"
135,Abbu 1234,enak buat tempat istirahat sebentar trus pemandanganx lumayan bagus dan murah meriah,Positif,"['enak', 'buat', 'tempat', 'istirahat', 'sebentar', 'trus', 'pemandanganx', 'lumayan', 'bagus', 'dan', 'murah', 'meriah']","['enak', 'buat', 'tempat', 'istirahat', 'sebentar', 'terus', 'pemandanganx', 'lumayan', 'bagus', 'dan', 'murah', 'meriah']","['enak', 'istirahat', 'sebentar', 'pemandanganx', 'lumayan', 'bagus', 'murah', 'meriah']","['enak', 'istirahat', 'sebentar', 'pemandanganx', 'lumayan', 'bagus', 'murah', 'meriah']","['enak', 'istirahat', 'sebentar', 'pemandanganx', 'lumayan', 'bagus', 'murah', 'riah']"
136,Rika Rahmania,karna tempat nya bagus indah dan memuaakan,Positif,"['karna', 'tempat', 'nya', 'bagus', 'indah', 'dan', 'memuaakan']","['karena', 'tempat', 'nya', 'bagus', 'indah', 'dan', 'memuaakan']","['nya', 'bagus', 'indah', 'memuaakan']","['bagus', 'indah', 'memuaakan']","['bagus', 'indah', 'memuaakan']"
137,Humaidi depadeh,kurang baik pengelola lokasi,Negatif,"['kurang', 'baik', 'pengelola', 'lokasi']","['kurang', 'baik', 'pengelola', 'lokasi']","['pengelola', 'lokasi']","['pengelola', 'lokasi']","['kelola', 'lokasi']"
138,indi ra,air terjun langsung mengarah ke laut,Positif,"['air', 'terjun', 'langsung', 'mengarah', 'ke', 'laut']","['air', 'terjun', 'langsung', 'mengarah', 'ke', 'laut']","['air', 'terjun', 'langsung', 'mengarah', 'laut']","['air', 'terjun', 'langsung', 'mengarah', 'laut']","['air', 'terjun', 'langsung', 'arah', 'laut']"
139,basuki mohamad,tempat nya bagus air terjun yang langsung kelaut,Positif,"['tempat', 'nya', 'bagus', 'air', 'terjun', 'yang', 'langsung', 'kelaut']","['tempat', 'nya', 'bagus', 'air', 'terjun', 'yang', 'langsung', 'kelaut']","['nya', 'bagus', 'air', 'terjun', 'langsung', 'kelaut']","['bagus', 'air', 'terjun', 'langsung', 'kelaut']","['bagus', 'air', 'terjun', 'langsung', 'laut']"
140,Donny AZHAR,tempat makan ikan bakar yang enak di pinggir jalan dan menghadap ke pantai,Positif,"['tempat', 'makan', 'ikan', 'bakar', 'yang', 'enak', 'di', 'pinggir', 'jalan', 'dan', 'menghadap', 'ke', 'pantai']","['tempat', 'makan', 'ikan', 'bakar', 'yang', 'enak', 'di', 'pinggir', 'jalan', 'dan', 'menghadap', 'ke', 'pantai']","['makan', 'ikan', 'bakar', 'enak', 'pinggir', 'jalan', 'menghadap', 'pantai']","['makan', 'ikan', 'enak', 'pinggir', 'jalan', 'menghadap', 'pantai']","['makan', 'ikan', 'enak', 'pinggir', 'jalan', 'hadap', 'pantai']"
